NCarte Vincitore
69 G1
139 G2
97 G1
275 G1
140 G2
201 G1
56 G1
213 G2
87 G2
54 G1
476 G1
126 G2
87 G1
163 G2
153 G1
314 G2
267 G2
376 G2
215 G1
123 G1
60 G2
290 G1
138 G2
189 G2
56 G1
591 G1
127 G1
228 G1
67 G2
751 G1
92 G1
365 G2
59 G1
276 G2
265 G2
42 G2
615 G2
102 G1
204 G1
128 G1
523 G1
266 G1
256 G2
103 G1
174 G1
215 G2
182 G1
337 G1
52 G2
135 G1
194 G1
79 G2
199 G2
337 G2
59 G2
43 G1
328 G2
65 G2
270 G2
53 G1
176 G1
180 G2
119 G1
286 G1
166 G1
246 G2
137 G2
341 G1
242 G2
299 G2
71 G1
153 G1
254 G1
197 G1
79 G1
54 G1
197 G1
323 G1
67 G2
220 G1
234 G2
79 G2
78 G1
257 G1
353 G1
112 G2
80 G2
71 G2
52 G1
79 G1
332 G1
53 G2
235 G1
81 G2
114 G2
141 G2
157 G2
137 G1
65 G1
36 G1
516 G1
64 G1
227 G2
86 G2
104 G2
54 G2
164 G2
126 G1
34 G2
122 G2
255 G2
108 G1
227 G2
43 G1
286 G1
136 G2
211 G1
122 G1
78 G1
199 G2
35 G2
91 G2
105 G1
178 G2
59 G2
206 G1
182 G1
142 G2
227 G2
89 G1
641 G2
352 G1
40 G1
375 G2
329 G2
551 G2
111 G2
78 G1
502 G2
184 G1
535 G2
237 G2
284 G2
57 G2
427 G1
127 G1
67 G2
163 G1
294 G2
255 G2
195 G1
49 G2
154 G1
104 G2
348 G1
34 G1
196 G1
757 G1
113 G2
229 G1
33 G2
178 G2
215 G2
768 G1
535 G2
33 G1
182 G1
100 G1
37 G1
38 G1
379 G2
353 G2
43 G2
411 G1
119 G1
105 G2
46 G2
117 G1
300 G2
87 G1
112 G2
103 G1
56 G2
33 G2
225 G2
185 G2
61 G2
350 G2
153 G2
89 G1
357 G2
45 G2
235 G1
145 G2
136 G2
56 G2
296 G2
288 G2
432 G1
204 G1
297 G2
166 G1
39 G1
241 G2
317 G1
38 G1
201 G2
283 G1
36 G2
115 G2
96 G1
250 G1
134 G1
226 G2
58 G2
44 G2
227 G1
273 G2
182 G1
141 G2
126 G1
61 G2
268 G1
56 G2
58 G1
105 G1
51 G2
171 G2
348 G1
269 G1
104 G1
259 G1
61 G2
167 G1
260 G1
218 G1
304 G2
74 G1
137 G1
113 G2
132 G1
40 G1
133 G1
38 G2
112 G2
132 G2
106 G1
281 G1
133 G2
112 G1
89 G2
196 G1
207 G2
55 G1
194 G2
70 G1
65 G2
300 G2
96 G1
100 G1
282 G2
38 G2
160 G2
190 G1
97 G2
116 G2
48 G1
235 G1
400 G1
127 G1
93 G2
34 G2
317 G2
578 G1
77 G2
89 G1
215 G2
111 G2
583 G1
139 G1
48 G2
341 G2
39 G2
87 G1
416 G1
118 G1
135 G1
86 G2
88 G2
493 G2
112 G1
207 G2
214 G1
338 G1
559 G1
92 G2
257 G2
237 G1
190 G2
124 G1
37 G1
155 G2
185 G2
186 G1
53 G1
230 G1
410 G2
34 G2
91 G2
80 G2
163 G1
163 G2
140 G1
168 G1
141 G2
237 G2
45 G1
181 G1
730 G2
85 G1
56 G2
386 G2
1053 G1
1113 G2
124 G2
276 G2
149 G1
54 G2
154 G2
178 G1
103 G2
69 G2
57 G1
72 G1
144 G2
78 G2
120 G2
212 G1
289 G2
114 G1
84 G2
216 G1
414 G2
52 G2
244 G1
246 G1
70 G1
167 G1
218 G2
67 G1
153 G1
136 G2
245 G1
123 G1
319 G2
35 G2
195 G2
97 G1
268 G1
111 G1
106 G1
67 G1
132 G2
45 G1
235 G1
87 G1
71 G1
510 G2
102 G1
53 G1
162 G1
61 G1
125 G2
631 G1
201 G1
38 G1
56 G1
428 G2
38 G1
40 G1
444 G2
83 G1
305 G2
298 G2
60 G2
73 G2
209 G2
205 G2
53 G2
58 G2
117 G2
627 G1
363 G2
148 G2
508 G1
275 G2
84 G1
158 G1
393 G2
270 G2
256 G2
362 G1
54 G1
548 G1
290 G1
166 G2
77 G1
241 G1
78 G1
272 G1
53 G2
114 G1
64 G2
186 G1
134 G2
734 G2
181 G2
267 G1
509 G2
39 G1
132 G1
130 G2
841 G1
98 G2
88 G1
84 G1
408 G1
381 G2
72 G1
233 G2
291 G2
327 G2
71 G2
167 G1
139 G2
371 G1
332 G1
197 G2
148 G2
256 G1
454 G1
534 G1
420 G2
59 G2
103 G1
36 G1
197 G1
137 G1
233 G1
190 G2
88 G2
144 G2
415 G1
236 G1
266 G2
84 G2
59 G2
77 G1
49 G2
167 G2
277 G1
90 G1
97 G2
467 G1
229 G1
103 G1
176 G1
378 G1
181 G2
269 G1
81 G2
162 G1
108 G2
56 G2
317 G1
56 G2
585 G1
38 G2
225 G1
133 G2
40 G1
74 G1
99 G2
108 G1
190 G2
49 G2
102 G1
57 G2
310 G2
173 G1
339 G1
313 G1
124 G1
112 G2
261 G1
58 G1
207 G2
134 G2
466 G1
478 G2
139 G1
82 G2
76 G1
273 G1
1047 G2
680 G1
160 G2
78 G1
188 G2
218 G1
137 G1
125 G2
383 G1
93 G2
195 G1
279 G2
249 G2
61 G2
206 G2
295 G2
213 G1
175 G2
85 G2
110 G1
298 G2
176 G2
124 G2
180 G2
579 G1
195 G2
297 G2
241 G1
398 G2
99 G1
344 G1
448 G1
204 G1
82 G2
49 G1
79 G1
133 G2
123 G1
93 G1
457 G1
185 G1
140 G2
37 G2
195 G2
189 G2
52 G1
40 G1
66 G1
45 G2
52 G2
459 G1
335 G1
556 G1
51 G2
68 G1
63 G2
106 G1
310 G1
276 G2
98 G1
285 G1
173 G1
274 G2
84 G2
240 G1
636 G1
148 G1
939 G1
246 G2
148 G1
208 G2
116 G2
121 G1
72 G2
170 G1
448 G1
37 G2
115 G1
115 G2
37 G1
729 G2
78 G2
38 G1
338 G1
138 G1
102 G2
187 G2
44 G2
105 G2
139 G1
34 G2
184 G1
132 G2
135 G2
189 G2
59 G2
119 G1
82 G1
44 G1
478 G2
74 G1
180 G1
142 G1
102 G1
46 G2
141 G1
131 G2
486 G2
157 G1
101 G2
159 G1
132 G1
63 G1
153 G1
51 G2
235 G1
352 G2
342 G1
122 G1
866 G1
81 G1
150 G1
271 G2
80 G2
120 G1
98 G2
222 G1
71 G2
385 G2
141 G1
42 G1
72 G2
433 G1
123 G2
128 G1
107 G2
270 G1
183 G2
108 G1
300 G1
177 G2
167 G1
170 G1
56 G2
99 G2
226 G2
339 G2
